scenario,trial_id,success,goal_reached,collision_free,time_sec,path_length_m,avg_linear_vel,avg_angular_vel,recovery_count,collision_count,stuck,min_clearance_m,avg_clearance_m,hit_cat,hit_obstacles,avg_traversability,avg_corridor_width
S2,1,1,1,1,27.39,11.71,0.417,0.112,0,0,0,0.428,2.942,0,none,0.977,361.99
S2,2,1,1,1,39.32,13.39,0.318,0.229,0,0,0,0.454,2.252,0,none,0.952,361.83
S2,3,1,1,1,27.59,11.75,0.415,0.115,0,0,0,0.427,2.948,0,none,0.978,361.84
S2,4,1,1,1,27.44,11.73,0.418,0.112,0,0,0,0.428,2.961,0,none,0.974,361.99
S2,5,1,1,1,27.72,11.75,0.416,0.113,0,0,0,0.427,2.963,0,none,0.975,361.99
S2,6,1,1,1,27.39,11.7,0.419,0.112,0,0,0,0.428,2.942,0,none,0.974,362.0
S2,7,1,1,1,37.81,13.05,0.323,0.215,0,0,0,0.426,2.326,0,none,0.942,361.72
S2,8,1,1,1,27.3,11.74,0.422,0.111,0,0,0,0.429,2.985,0,none,0.974,362.0
S2,9,1,1,1,27.62,11.74,0.417,0.112,0,0,0,0.427,2.949,0,none,0.976,362.0
S2,10,1,1,1,27.65,11.75,0.417,0.113,0,0,0,0.427,2.947,0,none,0.975,362.0
