Pair,Environment,Metric,Baseline (median),Fuzzy (median),U,p,r,Sig.
S1 vs S5,Open,Min clearance (m),0.0,0.0,,,,n/a
S1 vs S5,Open,Time (s),25.41,31.06,0,0.0002,+1.00,***
S1 vs S5,Open,Lin. vel (m/s),0.44,0.362,100,0.0002,-1.00,***
S1 vs S5,Open,Ang. vel (rad/s),0.092,0.083,100,0.0002,-1.00,***
S1 vs S5,Open,Path length (m),11.26,11.25,79,0.0243,-0.58,*
S2 vs S6,Single obstacle,Min clearance (m),0.428,0.437,10,0.0013,+0.80,**
S2 vs S6,Single obstacle,Time (s),27.605,34.185,20,0.0257,+0.60,*
S2 vs S6,Single obstacle,Lin. vel (m/s),0.417,0.344,80,0.0251,-0.60,*
S2 vs S6,Single obstacle,Ang. vel (rad/s),0.112,0.103,100,0.0002,-1.00,***
S2 vs S6,Single obstacle,Path length (m),11.745,11.94,20,0.0254,+0.60,*
S3 vs S7,Static multi + cat,Min clearance (m),0.06,0.152,0,0.0000,+1.00,***
S3 vs S7,Static multi + cat,Time (s),29.485,48.5,0,0.0000,+1.00,***
S3 vs S7,Static multi + cat,Lin. vel (m/s),0.399,0.255,200,0.0000,-1.00,***
S3 vs S7,Static multi + cat,Ang. vel (rad/s),0.166,0.193,9,0.0001,+0.91,***
S3 vs S7,Static multi + cat,Path length (m),12.15,12.865,0,0.0000,+1.00,***
S4 vs S8,Dynamic (moving human),Min clearance (m),-0.164,0.325,0,0.0002,+1.00,***
S4 vs S8,Dynamic (moving human),Time (s),33.475,49.735,0,0.0002,+1.00,***
S4 vs S8,Dynamic (moving human),Lin. vel (m/s),0.35,0.252,100,0.0002,-1.00,***
S4 vs S8,Dynamic (moving human),Ang. vel (rad/s),0.122,0.134,21,0.0341,+0.57,*
S4 vs S8,Dynamic (moving human),Path length (m),11.79,12.43,0,0.0002,+1.00,***
